id,date,hour,from,from_id,text_clean,reply_to_message_id,forwarded_from,edited,sticker_emoji,media_type,reactions
19199,2025-07-01 10:20:08,10,osy (simut),user5384267911,Ak kira dua warna satu kerudung,,,,,,
19200,2025-07-01 10:20:14,10,osy (simut),user5384267911,Mw pinjaaam,19190.0,,,,,
19201,2025-07-01 10:20:20,10,osy (simut),user5384267911,Jualan aph dia,19192.0,,,,,
19202,2025-07-01 10:20:27,10,osy (simut),user5384267911,Tdk bs 😹,19194.0,,,,,
19204,2025-07-01 10:20:57,10,osy (simut),user5384267911,Sptnya krn udh terbiasa dgn agniya cowok dn aulia cowok jd gina pun dia anggap cowok,19197.0,,,,,
19213,2025-07-01 10:22:47,10,osy (simut),user5384267911,Kesalahan berpikir 😹,19205.0,,,,,
19215,2025-07-01 10:23:01,10,osy (simut),user5384267911,"Gapapaa, nnti nak tengok",19206.0,,,,,
19217,2025-07-01 10:23:08,10,osy (simut),user5384267911,Iyaaah,19208.0,,,,,
19218,2025-07-01 10:23:15,10,osy (simut),user5384267911,Kamis apa bs,,,,,,
19219,2025-07-01 10:23:16,10,osy (simut),user5384267911,🤔🤔🤔,,,,,,
19222,2025-07-01 10:23:41,10,osy (simut),user5384267911,OALAAH,19212.0,,,,,
19223,2025-07-01 10:23:43,10,osy (simut),user5384267911,Kewirausahaan yh,,,,,,
19224,2025-07-01 10:23:51,10,osy (simut),user5384267911,Iyh cowok,19216.0,,,,,
19225,2025-07-01 10:23:56,10,osy (simut),user5384267911,OKK,19221.0,,,,,
19229,2025-07-01 10:38:10,10,osy (simut),user5384267911,Wow smngt okk,,,,,,
19235,2025-07-01 10:56:22,10,osy (simut),user5384267911,Maw pulang,,,,,,
19236,2025-07-01 10:56:28,10,osy (simut),user5384267911,Ak balik jam 10 coy 😹,,,,,,
19238,2025-07-01 11:02:29,11,osy (simut),user5384267911,Iyaah,,,,,,
19294,2025-07-01 20:32:08,20,osy (simut),user5384267911,Capeeekk,19239.0,,,,,
19295,2025-07-01 20:32:12,20,osy (simut),user5384267911,Iyhh sdh,19240.0,,,,,
19296,2025-07-01 20:32:18,20,osy (simut),user5384267911,LUCU MENG SYP,19248.0,,,,,
19297,2025-07-01 20:32:24,20,osy (simut),user5384267911,OK,19250.0,,,,,
19298,2025-07-01 20:32:37,20,osy (simut),user5384267911,"Keren, bro kepenuhan ide",19288.0,,,,,
19381,2025-07-02 12:34:11,12,osy (simut),user5384267911,Giinn kl hari inih km pulang jamberr,,,,,,
19382,2025-07-02 12:34:16,12,osy (simut),user5384267911,🤔🤔🤔,,,,,,
19386,2025-07-02 12:49:07,12,osy (simut),user5384267911,Gpph gk kering juga ak terima,19384.0,,,,,
19388,2025-07-02 12:49:20,12,osy (simut),user5384267911,WIDIIHH,19385.0,,,,,
19389,2025-07-02 12:49:27,12,osy (simut),user5384267911,Mendung yh di luar,,,,,,
19391,2025-07-02 12:51:21,12,osy (simut),user5384267911,Ak hari ini masuk jam setengah empatt,,,,,,
19393,2025-07-02 12:51:52,12,osy (simut),user5384267911,Jam tigaan palingg,,,,,,
19395,2025-07-02 12:51:56,12,osy (simut),user5384267911,Iyaa,19392.0,,,,,
19396,2025-07-02 12:51:59,12,osy (simut),user5384267911,MAKASIH YHH,,,,,,
19399,2025-07-02 13:57:11,13,osy (simut),user5384267911,"Bagusnya apa yh, ganti katanya itu gk kyk bocil 😇",,,,,,
19400,2025-07-02 13:57:31,13,osy (simut),user5384267911,Ak jadinya pke sweater lilac dn celana piyama kuromi lilac,,,,,,
19401,2025-07-02 13:57:36,13,osy (simut),user5384267911,Tabrakin sm pink,,,,,,
19409,2025-07-02 14:56:30,14,osy (simut),user5384267911,OKK,19403.0,,,,,
19411,2025-07-02 14:56:38,14,osy (simut),user5384267911,Culik gin,19404.0,,,,,
19412,2025-07-02 14:56:49,14,osy (simut),user5384267911,Semoga bs secepatnya selsai yhh,19405.0,,,,,
19413,2025-07-02 14:56:52,14,osy (simut),user5384267911,YEAYY,19406.0,,,,,
19414,2025-07-02 14:56:58,14,osy (simut),user5384267911,Bntr belum anu,,,,,,
19415,2025-07-02 14:57:06,14,osy (simut),user5384267911,Nnti diinfokan kl sdh omtewe,,,,,,
19421,2025-07-02 15:24:51,15,osy (simut),user5384267911,Yhh,19417.0,,,,,
19422,2025-07-02 15:24:57,15,osy (simut),user5384267911,Iyh sdh hujaan,19419.0,,,,,
19423,2025-07-02 15:25:03,15,osy (simut),user5384267911,Bntr ini ada itu dgn ibu,,,,,,
19425,2025-07-02 16:15:17,16,osy (simut),user5384267911,Ak otww,,,,,,
19427,2025-07-02 16:19:14,16,osy (simut),user5384267911,Dah sampee,,,,,,
19430,2025-07-02 16:19:46,16,osy (simut),user5384267911,Yeaah,,,,,,
19431,2025-07-02 16:19:48,16,osy (simut),user5384267911,Bawaa,,,,,,
19433,2025-07-02 16:20:02,16,osy (simut),user5384267911,Makasih yhh,,,,,,
19434,2025-07-02 16:21:11,16,osy (simut),user5384267911,Ak dpn rumah,,,,,,
19435,2025-07-02 16:21:12,16,osy (simut),user5384267911,Hehe,,,,,,
19602,2025-07-04 09:00:18,9,osy (simut),user5384267911,"Bbr, sgt amsu",19448.0,,,,,
19604,2025-07-04 09:00:29,9,osy (simut),user5384267911,Anjaay tmpt apahh,19511.0,,,,,
19605,2025-07-04 09:00:35,9,osy (simut),user5384267911,Ak bru sampe Rumentang,,,,,,
19606,2025-07-04 09:00:41,9,osy (simut),user5384267911,Smpe jam 11 coy 😹,,,,,,
19607,2025-07-04 09:00:53,9,osy (simut),user5384267911,Gustiii,19596.0,,,,,
19608,2025-07-04 09:00:59,9,osy (simut),user5384267911,😇😇😇,,,,,,
19639,2025-07-04 19:30:22,19,osy (simut),user5384267911,Hi Teh Gina,19611.0,,,,,
19640,2025-07-04 19:30:27,19,osy (simut),user5384267911,😹😹😹,19613.0,,,,,
19641,2025-07-04 19:30:34,19,osy (simut),user5384267911,Sebiji doank,,,,,,
19642,2025-07-04 19:30:39,19,osy (simut),user5384267911,Isin,19623.0,,,,,
19643,2025-07-04 19:30:42,19,osy (simut),user5384267911,Pulang ajhh,,,,,,
19644,2025-07-04 19:30:52,19,osy (simut),user5384267911,Gaaass,19625.0,,,,,
19879,2025-07-07 06:48:20,6,osy (simut),user5384267911,Yeahh,19862.0,,,,,
19880,2025-07-07 06:48:28,6,osy (simut),user5384267911,Knphh,19863.0,,,,,
19881,2025-07-07 06:48:34,6,osy (simut),user5384267911,😹😹😹,19864.0,,,,,
19882,2025-07-07 06:48:38,6,osy (simut),user5384267911,Dsr,,,,,,
19883,2025-07-07 06:48:42,6,osy (simut),user5384267911,Enaakk,19866.0,,,,,
19884,2025-07-07 06:48:43,6,osy (simut),user5384267911,Mw,,,,,,
19885,2025-07-07 06:48:49,6,osy (simut),user5384267911,😹😹😹,19867.0,,,,,
19886,2025-07-07 06:49:05,6,osy (simut),user5384267911,GK JD RIMEK AK LUAP,19868.0,,,,,
19887,2025-07-07 06:49:08,6,osy (simut),user5384267911,Lupa,,,,,,
19888,2025-07-07 06:49:11,6,osy (simut),user5384267911,Hrsnya kemarin,,,,,,
19889,2025-07-07 06:49:16,6,osy (simut),user5384267911,Knphh,19875.0,,,,,
20002,2025-07-07 18:05:03,18,osy (simut),user5384267911,GK NGERTI...,19890.0,,,,,
20003,2025-07-07 18:05:06,18,osy (simut),user5384267911,Yh mager,19891.0,,,,,
20004,2025-07-07 18:05:12,18,osy (simut),user5384267911,"Ide bgs, nnti",19892.0,,,,,
20005,2025-07-07 18:05:18,18,osy (simut),user5384267911,Gebukin,19893.0,,,,,
20006,2025-07-07 18:05:23,18,osy (simut),user5384267911,AHAHAHAHAHAHA,19936.0,,,,,
20007,2025-07-07 18:05:25,18,osy (simut),user5384267911,Malas,,,,,,
20008,2025-07-07 18:05:35,18,osy (simut),user5384267911,Apkh blh bgitu dik adik,,,,,,
20009,2025-07-07 18:05:40,18,osy (simut),user5384267911,IYA LG,19944.0,,,,,
20010,2025-07-07 18:05:42,18,osy (simut),user5384267911,😹😹😹,,,,,,
20094,2025-07-08 11:25:19,11,osy (simut),user5384267911,Kok lucu bgt,20073.0,,,,,
20095,2025-07-08 11:25:24,11,osy (simut),user5384267911,App mie ayam,,,,,,
20096,2025-07-08 11:25:30,11,osy (simut),user5384267911,Membeli mie ayam dgn app gt apa gimana,,,,,,
20097,2025-07-08 11:25:35,11,osy (simut),user5384267911,Keren skli,20074.0,,,,,
20098,2025-07-08 11:25:40,11,osy (simut),user5384267911,Technologia,,,,,,
20099,2025-07-08 11:25:52,11,osy (simut),user5384267911,😇😇😇,20075.0,,,,,
20100,2025-07-08 11:25:58,11,osy (simut),user5384267911,WKWKWKWK,20076.0,,,,,
20101,2025-07-08 11:26:00,11,osy (simut),user5384267911,Dipeluk gk,,,,,,
20102,2025-07-08 11:26:02,11,osy (simut),user5384267911,🫂,,,,,,
20103,2025-07-08 11:26:30,11,osy (simut),user5384267911,"Gpp, org rajin pun perlu sedikit kemalasan 😹",20078.0,,,,,
20159,2025-07-08 20:21:58,20,osy (simut),user5384267911,IH LUCU BGT,20143.0,,,,,
20160,2025-07-08 20:22:01,20,osy (simut),user5384267911,Semangattt,,,,,,
20161,2025-07-08 20:22:05,20,osy (simut),user5384267911,Aamiinnn,20144.0,,2025-07-09T16:56:59,,,"[{'type': 'emoji', 'count': 1, 'emoji': '❤', 'recent': [{'from': '10124481 - Gina Pratiwi', 'from_id': 'user6085595727', 'date': '2025-07-09T16:56:59'}]}]"
20162,2025-07-08 20:22:16,20,osy (simut),user5384267911,IYA AK JG TAU 😭😭😭,20147.0,,,,,
20182,2025-07-09 09:04:44,9,osy (simut),user5384267911,Yh sm sm ok,,,,,,
20195,2025-07-09 12:17:12,12,osy (simut),user5384267911,Bnr,,,,,,
20196,2025-07-09 12:17:17,12,osy (simut),user5384267911,Km cm membalas satu 💔,,,,,,
20354,2025-07-10 07:23:33,7,osy (simut),user5384267911,Gk dimaafkan,20335.0,,,,,
20355,2025-07-10 07:23:39,7,osy (simut),user5384267911,Ms iy dipeluk bnrn,20336.0,,,,,
20372,2025-07-10 08:42:23,8,osy (simut),user5384267911,Woi seram,20362.0,,,,,
20373,2025-07-10 08:42:28,8,osy (simut),user5384267911,AHAHAHAHAHA,20364.0,,,,,
20374,2025-07-10 08:42:31,8,osy (simut),user5384267911,Apa ituh,20365.0,,,,,
20375,2025-07-10 08:42:36,8,osy (simut),user5384267911,Tdkk,20367.0,,,,,
20376,2025-07-10 08:42:57,8,osy (simut),user5384267911,Aku hanya bljr utk menghitung jika mau menggunakan kuantitatif,,,,,,
20377,2025-07-10 08:43:02,8,osy (simut),user5384267911,Aphh,20368.0,,,,,
20398,2025-07-10 13:23:33,13,osy (simut),user5384267911,Iya yh yh,20383.0,,,,,
20399,2025-07-10 13:23:38,13,osy (simut),user5384267911,Tfk mengertii,20384.0,,,,,
20400,2025-07-10 13:23:41,13,osy (simut),user5384267911,Iyhh,20385.0,,,,,
20401,2025-07-10 13:23:46,13,osy (simut),user5384267911,Gmn yh,20386.0,,,,,
20402,2025-07-10 13:23:49,13,osy (simut),user5384267911,Sulit,,,,,,
20403,2025-07-10 13:23:54,13,osy (simut),user5384267911,Km sdh mulai libur kh twinnie,,,,,,
20405,2025-07-10 16:02:13,16,osy (simut),user5384267911,Ow,,,,,,
20406,2025-07-10 16:02:14,16,osy (simut),user5384267911,🥰🥰🥰,,,,,,
20407,2025-07-10 16:02:16,16,osy (simut),user5384267911,Smngtt,,,,,,
20494,2025-07-11 00:49:43,0,osy (simut),user5384267911,HEHE,20411.0,,,,,
20495,2025-07-11 00:50:01,0,osy (simut),user5384267911,Km doang cewenya tp yang tipsen bejejer 😹,20417.0,,,,,
20496,2025-07-11 00:50:09,0,osy (simut),user5384267911,Alhamdulillah yh,20418.0,,2025-07-11T11:20:59,,,"[{'type': 'emoji', 'count': 1, 'emoji': '👍', 'recent': [{'from': '10124481 - Gina Pratiwi', 'from_id': 'user6085595727', 'date': '2025-07-11T11:20:59'}]}]"
20497,2025-07-11 00:50:21,0,osy (simut),user5384267911,Satu merah 💔,20431.0,,,,,
20555,2025-07-11 12:01:39,12,osy (simut),user5384267911,Ak sdh jadi alumni 😇,20545.0,,,,,
20556,2025-07-11 12:01:47,12,osy (simut),user5384267911,WOW SMNGTTT,20547.0,,,,,
20557,2025-07-11 12:01:49,12,osy (simut),user5384267911,Km pasti bs,,,,,,
20558,2025-07-11 12:02:00,12,osy (simut),user5384267911,Iyh cb nnti anukan,20548.0,,,,,
20559,2025-07-11 12:02:06,12,osy (simut),user5384267911,😹😹😹,20549.0,,,,,
20560,2025-07-11 12:02:13,12,osy (simut),user5384267911,Membelah diri biar ceweknya bnyk,,,,,,
20561,2025-07-11 12:02:30,12,osy (simut),user5384267911,Gmn ituu,20550.0,,,,,
20562,2025-07-11 12:02:38,12,osy (simut),user5384267911,Bnr di dirumah tuh mantap,20552.0,,,,,
20563,2025-07-11 12:02:43,12,osy (simut),user5384267911,AHAHAHAHAHAH,20554.0,,,,,
20567,2025-07-11 12:04:32,12,osy (simut),user5384267911,Bisaa,,,,,,
20568,2025-07-11 12:04:41,12,osy (simut),user5384267911,Ada apakah,,,,,,
20572,2025-07-11 12:05:44,12,osy (simut),user5384267911,Gini? 🤔,,,,,,
20574,2025-07-11 12:06:02,12,osy (simut),user5384267911,Wet,,,,,,
20576,2025-07-11 12:06:07,12,osy (simut),user5384267911,Aman ajhh,,,,,,
20577,2025-07-11 12:06:10,12,osy (simut),user5384267911,Sebentar okk,,,,,,
20594,2025-07-11 12:11:03,12,osy (simut),user5384267911,IYAAA,,,,,,
20607,2025-07-11 12:13:46,12,osy (simut),user5384267911,"Yoii, smngtt",,,,,,
20644,2025-07-11 17:54:46,17,osy (simut),user5384267911,WKWKW,20615.0,,,,,
20645,2025-07-11 17:54:50,17,osy (simut),user5384267911,Santai pls,20616.0,,,,,
20646,2025-07-11 17:54:52,17,osy (simut),user5384267911,Gitu doang,,,,,,
20647,2025-07-11 17:55:01,17,osy (simut),user5384267911,Mantap 🥰,20617.0,,,,,
20648,2025-07-11 17:55:19,17,osy (simut),user5384267911,Si bapak ini mah yang tdk rajin,20621.0,,,,,
20649,2025-07-11 17:55:23,17,osy (simut),user5384267911,NGECEK DOANG JG PDHL,,,,,,
20650,2025-07-11 17:55:28,17,osy (simut),user5384267911,😹😹😹,20622.0,,,,,
20651,2025-07-11 17:55:35,17,osy (simut),user5384267911,Awas nnti km dikeroyok,20625.0,,,,,
20652,2025-07-11 17:55:40,17,osy (simut),user5384267911,Bnrrr,20626.0,,,,,
20653,2025-07-11 17:55:53,17,osy (simut),user5384267911,Serem bgt coy,20636.0,,,,,
20654,2025-07-11 17:55:57,17,osy (simut),user5384267911,Tp lucu sih mau jg,,,,,,
20655,2025-07-11 17:56:00,17,osy (simut),user5384267911,Pake gambar draco,,,,,,
20678,2025-07-11 19:33:09,19,osy (simut),user5384267911,Ak jg ad dosen begitu 😹,20659.0,,,,,
20679,2025-07-11 19:33:17,19,osy (simut),user5384267911,Pdhl semester ini aku Alhamdulillah gk ada ranap ranap,,,,,,
20680,2025-07-11 19:33:23,19,osy (simut),user5384267911,Tp absennya ada yang gak 100,,,,,,
20681,2025-07-11 19:33:27,19,osy (simut),user5384267911,AHAHAHAHAHA,20660.0,,,,,
20682,2025-07-11 19:33:32,19,osy (simut),user5384267911,Gpp oren cinta dallas,,,,,,
20683,2025-07-11 19:33:39,19,osy (simut),user5384267911,Yuk,20662.0,,,,,
20984,2025-07-14 19:16:06,19,osy (simut),user5384267911,WIDIIHH,20935.0,,,,,
20985,2025-07-14 19:16:14,19,osy (simut),user5384267911,Mari jadi Bandung Bondowoso bersama sy,,,,,,
20986,2025-07-14 19:16:20,19,osy (simut),user5384267911,Buset,20936.0,,,,,
20987,2025-07-14 19:16:24,19,osy (simut),user5384267911,Melebihi Bandung Bondowoso,,,,,,
20988,2025-07-14 19:16:43,19,osy (simut),user5384267911,Knp ada nama nama anomali di sana deym,20937.0,,,,,
20989,2025-07-14 19:16:52,19,osy (simut),user5384267911,"Sptnya, tp gpp gk bleh nawar 😹",20938.0,,,,,
20990,2025-07-14 19:17:12,19,osy (simut),user5384267911,ANJAAYY MY TWINNIE TERPERCAYA,20943.0,,,,,
20991,2025-07-14 19:17:23,19,osy (simut),user5384267911,MANTAPPP smngttt,20945.0,,2025-07-14T19:49:41,,,"[{'type': 'emoji', 'count': 1, 'emoji': '❤', 'recent': [{'from': '10124481 - Gina Pratiwi', 'from_id': 'user6085595727', 'date': '2025-07-14T19:49:41'}]}]"
20992,2025-07-14 19:17:27,19,osy (simut),user5384267911,ALHAMDULILLAH,20953.0,,2025-07-14T19:49:45,,,"[{'type': 'emoji', 'count': 1, 'emoji': '❤', 'recent': [{'from': '10124481 - Gina Pratiwi', 'from_id': 'user6085595727', 'date': '2025-07-14T19:49:45'}]}]"
20993,2025-07-14 19:17:32,19,osy (simut),user5384267911,"Mantapp, keren abieesss",,,,,,
20996,2025-07-14 19:46:24,19,osy (simut),user5384267911,Santuy aja okk,,,,,,
20997,2025-07-14 19:46:28,19,osy (simut),user5384267911,Aku jg baru baliikk,,,,,,
21015,2025-07-15 11:17:41,11,osy (simut),user5384267911,AHAHAHA,20998.0,,,,,
21016,2025-07-15 11:17:44,11,osy (simut),user5384267911,Iya sik,,,,,,
21017,2025-07-15 11:17:49,11,osy (simut),user5384267911,Gpp itu keren,20999.0,,,,,
21018,2025-07-15 11:17:55,11,osy (simut),user5384267911,Dia kan emng membantu,,,2025-07-15T11:18:05,,,
21019,2025-07-15 11:18:25,11,osy (simut),user5384267911,Mang km gk sibuk,21000.0,,,,,
21020,2025-07-15 11:18:28,11,osy (simut),user5384267911,😹😹😹,,,,,,
21021,2025-07-15 11:18:39,11,osy (simut),user5384267911,Nnti malah diprotes balikk,21002.0,,,,,
21022,2025-07-15 11:18:46,11,osy (simut),user5384267911,Keren bgt bg,21003.0,,,,,
21023,2025-07-15 11:18:51,11,osy (simut),user5384267911,Tidaakk,21005.0,,,,,
21024,2025-07-15 11:18:54,11,osy (simut),user5384267911,Abis main akakakak,,,,,,
21038,2025-07-15 15:54:53,15,osy (simut),user5384267911,Betuull,21027.0,,,,,
21039,2025-07-15 15:54:54,15,osy (simut),user5384267911,Woiiikk 😹😹,21029.0,,,,,
21040,2025-07-15 15:55:15,15,osy (simut),user5384267911,"Enak bgt, warga sunda empire butuh info numpang nama",,,,,,
21041,2025-07-15 15:55:20,15,osy (simut),user5384267911,Smngttt,21030.0,,,,,
21042,2025-07-15 15:56:28,15,osy (simut),user5384267911,"Iya soalnya blio prnh membahas, ""kalau saya kasih nilai kecil, terus kalian ngerasa gak sesuai, kalian protes. Tapi ketika kalian yang ngerasa kurang effort, saya kasih nilai gede, ada nggak kalian protes?""",21031.0,,,,,
21043,2025-07-15 15:56:30,15,osy (simut),user5384267911,😹😹😹,,,,,,
21044,2025-07-15 15:56:43,15,osy (simut),user5384267911,Gaasss,21033.0,,,,,
21045,2025-07-15 15:56:48,15,osy (simut),user5384267911,WAH WKWKW,21034.0,,,,,
21046,2025-07-15 15:56:52,15,osy (simut),user5384267911,Bwrubah gk mukanya,,,,,,
21063,2025-07-15 16:31:18,16,osy (simut),user5384267911,HAH,,,,,,
21064,2025-07-15 16:31:23,16,osy (simut),user5384267911,KOK BISA???,,,,,,
21105,2025-07-16 07:07:38,7,osy (simut),user5384267911,Kmp bs gt 😞😞,21065.0,,,,,
21106,2025-07-16 07:07:44,7,osy (simut),user5384267911,Alhamdulillaaah,21071.0,,,,,
21107,2025-07-16 07:07:55,7,osy (simut),user5384267911,KEDODUDHFHTP ITU UDH SELESAI???,21073.0,,,,,
21108,2025-07-16 07:08:10,7,osy (simut),user5384267911,Gak ada,21074.0,,,,,
21109,2025-07-16 07:08:14,7,osy (simut),user5384267911,Itu minta apakah,,,,,,
21110,2025-07-16 07:08:19,7,osy (simut),user5384267911,AHAHAHA,21099.0,,,,,
21111,2025-07-16 07:08:24,7,osy (simut),user5384267911,Gmn katanyah,,,,,,
21171,2025-07-17 08:29:12,8,osy (simut),user5384267911,WIDIH MANTAPP,21112.0,,,,,
21172,2025-07-17 08:29:16,8,osy (simut),user5384267911,Keren sklii,,,2025-07-17T08:40:47,,,"[{'type': 'emoji', 'count': 1, 'emoji': '❤', 'recent': [{'from': '10124481 - Gina Pratiwi', 'from_id': 'user6085595727', 'date': '2025-07-17T08:40:47'}]}]"
21173,2025-07-17 08:29:26,8,osy (simut),user5384267911,"Anjaayy, semoga seoke itu",21113.0,,2025-07-17T08:40:50,,,"[{'type': 'emoji', 'count': 1, 'emoji': '❤', 'recent': [{'from': '10124481 - Gina Pratiwi', 'from_id': 'user6085595727', 'date': '2025-07-17T08:40:50'}]}]"
21174,2025-07-17 08:29:31,8,osy (simut),user5384267911,Aamiin,21114.0,,2025-07-17T08:40:52,,,"[{'type': 'emoji', 'count': 1, 'emoji': '❤', 'recent': [{'from': '10124481 - Gina Pratiwi', 'from_id': 'user6085595727', 'date': '2025-07-17T08:40:52'}]}]"
21175,2025-07-17 08:29:38,8,osy (simut),user5384267911,Sedih skli,21123.0,,,,,
21176,2025-07-17 08:29:52,8,osy (simut),user5384267911,Skrg apakah beress,21125.0,,,,,
21177,2025-07-17 08:29:58,8,osy (simut),user5384267911,Keren sgt rajin,21126.0,,2025-07-17T08:41:26,,,"[{'type': 'emoji', 'count': 1, 'emoji': '🥰', 'recent': [{'from': '10124481 - Gina Pratiwi', 'from_id': 'user6085595727', 'date': '2025-07-17T08:41:26'}]}]"
21178,2025-07-17 08:30:05,8,osy (simut),user5384267911,😧😧😧,21127.0,,,,,
21179,2025-07-17 08:30:24,8,osy (simut),user5384267911,Kok km bs tau,21128.0,,,,,
21180,2025-07-17 08:30:29,8,osy (simut),user5384267911,Jam berapaah,21169.0,,,,,
21197,2025-07-17 11:49:46,11,osy (simut),user5384267911,"Sptnya ak tdk bisaa, ini tdk ad yang di rumah y ak dikunciin 💔",,,,,,
21199,2025-07-17 11:50:02,11,osy (simut),user5384267911,Sampai kpn ituh,21185.0,,,,,
21200,2025-07-17 11:50:11,11,osy (simut),user5384267911,Bs tau yang akan keluar,21186.0,,2025-07-17T11:50:17,,,
21207,2025-07-17 13:57:58,13,osy (simut),user5384267911,Iyh ak jg sakit 😢😢,21201.0,,,,,
21208,2025-07-17 13:58:05,13,osy (simut),user5384267911,🥰🥰🥰,21204.0,,,,,
21209,2025-07-17 13:58:07,13,osy (simut),user5384267911,Alhamdulillah,,,,,,
21210,2025-07-17 13:58:12,13,osy (simut),user5384267911,ANJAY KERENN,21205.0,,,,,
21285,2025-07-18 06:55:17,6,osy (simut),user5384267911,Kepala ak sgt muter muter. Ak sptnya sakit trs,21224.0,,,,,
21286,2025-07-18 06:55:25,6,osy (simut),user5384267911,"Bnr, sedikit",21225.0,,,,,
21287,2025-07-18 06:55:40,6,osy (simut),user5384267911,Wow apkh tdk pusing,21226.0,,,,,
21288,2025-07-18 06:55:46,6,osy (simut),user5384267911,😞😞😞,,,,,,
21289,2025-07-18 06:55:51,6,osy (simut),user5384267911,AHAHAHAHA,21228.0,,,,,
21290,2025-07-18 06:55:53,6,osy (simut),user5384267911,Kirain bnrn,,,,,,
21291,2025-07-18 06:55:58,6,osy (simut),user5384267911,Bnrn pun ak percaya,,,,,,
21292,2025-07-18 06:56:15,6,osy (simut),user5384267911,Gmn back up design 🥰,21277.0,,,,,
21293,2025-07-18 06:56:39,6,osy (simut),user5384267911,Kecuali project tim di canva bs disalin ke tim lain yang masih di satu akun itu,,,,,,
21294,2025-07-18 06:56:48,6,osy (simut),user5384267911,AHAHAHAHA,21279.0,,,,,
21295,2025-07-18 06:56:54,6,osy (simut),user5384267911,Bom tmn sekelompok km aj,,,,,,
21334,2025-07-18 13:33:49,13,osy (simut),user5384267911,Iyhh,21320.0,,,,,
21335,2025-07-18 13:33:58,13,osy (simut),user5384267911,Tp gk bs gusy berisik bgt 😹,,,,,,
21337,2025-07-18 13:34:05,13,osy (simut),user5384267911,Mantappss,21322.0,,,,,
